name,mean_SaliencyMap(mesh),mean_RoughnessFromDON(mesh),mean_meshPointDensityAndColorUniformity(mesh),Var_SaliencyMap(mesh),Var_RoughnessFromDON(mesh),Var_meshPointDensityAndColorUniformity(mesh),std_SaliencyMap(mesh),std_RoughnessFromDON(mesh),std_meshPointDensityAndColorUniformity(mesh),skew_SaliencyMap(mesh),skew_RoughnessFromDON(mesh),skew_meshPointDensityAndColorUniformity(mesh),slope_fractal3dmine,inc_fractal3dmine,mean1_fractal3dmine,std_fractal3dmine,mean_2d_fd_boxcount_m,var_2d_fd_boxcount_m,skewness_2d_fd_boxcount_m,max_2d_fd_boxcount_m,std_2d_fd_boxcount_m,3d_average_fd_m_24*12averFD,3d_average_ic_m_24*12averIC,3d_average_fd_24*12_m,3d_max_fd_24*12_m,3d_skewness_fd_24*12_m,3d_std_fd_24*12_m,3d_average_ic_24*12_m,3d_max_ic_24*12_m,3d_skewness_ic_24*12_m,3d_std_ic_24*12_m,co_volume_m,max_3D_boxcount,%median_3D_boxcount,mean_2d_fd_minefft,var_2d_fd_minefft,skewness_2d_fd_minefft,max_2d_fd_minefft,std_2d_fd_minefft,mean_2d_ic_minefft,var_2d_ic_minefft,skewness_2d_ic_minefft,max_2d_ic_minefft,std_2d_ic_minefft
11811,0.306017196646194,0.151050147975707,5.81921575284332,0.100588069252683,0.00920517530902,18.5096697974519,0.317156222156657,0.095943604836488,4.30228657779231,1.16318120265346,0.772456164396537,-0.613262612329394,1.88380108027053,9.20995057574691,0.629209424654496,3.94196675451441,1.00145794318983,0.095370706467376,0.71419993116952,1.71179375245997,0.308821479931977,3.72085365084026,22.497860522494,3.59259507434876,3.9799348566112,-0.354280266865916,0.057921159820523,23.0677465641161,25.9655215462908,0.044316073464844,0.399744792038491,24175,1.47476984735695,0.522304428442011,-2.61016847096128,0.226587009792497,4.49449472911591,4.68E-14,0.476011564767598,3.12559315500544,6.27632278738621,-4.64514767869159,4.13832732033303,2.50525902600634
11833,0.337484232132017,0.155896442883226,5.43790416183054,0.118515875940673,0.010668713782407,13.9324316213913,0.34426134831066,0.103289465979869,3.73261726157281,1.26324640436388,0.987240266658696,-0.770453577779707,1.70964608400899,8.84335740781324,0.686012441794928,3.92722832205999,1.06067034384409,0.05731151736907,-0.088142993382341,1.60750335174318,0.239398240112724,3.9112571135904,22.5209316439352,3.76476513874173,4.1511359507638,0.023713751683337,0.074731359020375,23.182102435569,26.6708655417746,0.340035591623572,0.542927052887915,22747,1.47476984735695,0.452710099267207,-2.3876616867963,0.194505546314338,2.29833848808991,-0.484329776953646,0.441027829410275,3.15673541943864,5.2219361870603,-2.83816653392583,4.97988611242881,2.285155615502
11837,0.315943351422255,0.093583312938231,5.15241830065359,0.119421691788187,0.00761638741425,14.6719320603208,0.345574437405585,0.087271916526739,3.83039580987668,1.31091185462341,1.09528232450112,-0.601722828581709,1.74348113680387,8.535952032107,0.485662899967579,3.76223595126095,0.98484781542315,0.033484012350892,0.695576769698513,1.43920343458152,0.182986372035984,3.88640154764591,21.4670661030749,3.67818075403934,4.23116578926813,0.032929986704819,0.069391800872154,22.7692066245581,24.899042176131,0.126888912402172,0.473820288684402,12613,1,0.609987463798008,-2.41007578780525,0.274828705508794,2.17470630979045,3.04E-14,0.524241075755033,2.0140215835842,6.41537623500361,-2.95927374916243,4.07343057213669,2.53285930027777
11841,0.296845509796321,0.098823547129267,5.50133827465514,0.09914013581549,0.008291059452197,13.7459833850546,0.314865266130594,0.091055254940046,3.70755760374058,1.16847836109989,1.04658761996431,-0.809879945298962,1.95617435379478,9.10836265099838,0.822657720874813,3.83082884418056,0.851843389056279,0.033621393261091,1.47881920055267,1.57991654817725,0.183361373416244,3.90104155153518,22.2545939670079,3.68357634392005,4.09801481365858,0.640980662592885,0.069744507893049,23.4656293824301,26.6788440622247,-0.990196990590431,0.515042701135963,18774,2.75808748945039,0.493515374588975,-2.45149389797777,0.189724192951077,3.39371615295952,-8.70E-14,0.435573407075176,3.00522858088278,5.28477440952565,-4.16146478954641,4.65910139277788,2.29886372139056
11842,0.316343688833645,0.09532223717749,5.40751269035533,0.104926259970919,0.008114959816312,14.0189080264913,0.323923231601129,0.0900830717522,3.74418322555017,1.15881476186768,1.29841353572215,-0.751839643290074,1.67778375176302,8.63733955946728,0.626930671173804,3.86447196789894,0.988046599210129,0.019122787128429,0.307179437820459,1.22046760346712,0.138285165973899,3.81254935325603,22.6789481403889,3.6543891701943,4.07859997383728,0.321255426971913,0.060962730261167,23.4049904506483,26.5979261311244,-0.320730553806987,0.479383915790934,19958,1.70951129135146,0.5,-2.36994542094623,0.199558315729441,2.47220466332857,-0.520193162536474,0.44671950453214,2.78853048137115,5.40460820503036,-2.61596204039869,4.53163242388947,2.32478132413145
11847,0.328034814230108,0.096945948765847,5.45787139689579,0.105916000479091,0.008201476010904,13.8746109901119,0.325447385116383,0.090562000921491,3.72486388880344,1.1978443914785,1.28686418793278,-0.782778345956757,1.77722123367174,8.49956296074411,0.420952421745331,3.71641888231475,0.960611724279466,0.029015483873262,-0.332748326307635,1.23015439277065,0.170339319809789,3.80679120648563,20.6949472676863,3.56571043502323,4.07442657410523,0.578455610732643,0.076002680892026,22.1698993316027,25.1656368500898,-1.2575900403172,0.533717457946387,11580,1,0.450114107303824,-2.74443589318109,0.082395517683943,3.05493173772523,-1.2710834691476,0.287046194338024,1.96043665771533,1.554164774764,-3.50879537386969,3.02027060961942,1.24666145154328
11849,0.298791532369509,0.097749718858677,5.21248303934871,0.096913110812077,0.007744758430339,14.5298848792902,0.311308706611424,0.088004309157784,3.81180861000263,1.21407213537638,0.968690327451453,-0.636172045032391,1.62909415688044,8.31587788978264,0.53332597431391,3.7564153712863,0.975631500388497,0.055378746082548,0.477784619048321,1.59143297083572,0.235326891966362,3.98812777563763,21.5074326172777,3.78540247895575,4.23169589905118,-0.779973192880437,0.086495798664641,22.5703723863259,25.7086029365776,0.268306407053781,0.624245750383523,12645,3.10628371950539,0.519398863848219,-2.29534074257405,0.164263424547705,2.50110375545274,-0.205344602421759,0.405294244404859,2.46626790581213,3.95662686068035,-3.70490635118951,4.22954396682332,1.98912716051044
11852,0.323019138331735,0.100859047642183,5.2646404744255,0.10852448739409,0.008634257003598,14.4006844704444,0.329430550183327,0.092920702771761,3.79482337803018,1.14384484956779,1.1099394279775,-0.666508213134258,1.76775370008156,8.99418624652196,0.608988232786822,3.98678135762064,1.12355199234442,0.034014977544836,-0.378550292977661,1.44920566408807,0.18443149824484,3.92784635528204,22.9748888332856,3.684641439589,4.14349567142705,0.696215083980996,0.067445222851378,24.3118013996742,26.8076046445613,0.723129585716925,0.48136630991592,22189,2.64192679581114,0.575716642493445,-2.25757776612658,0.143473298124369,2.25650402562423,-0.529902851035025,0.378778692806723,3.32526964464187,4.21770656433823,-2.54337016230739,5.19692054225819,2.05370556904787
11860,0.324391758566703,0.15755641355752,6.07465143299768,0.104541752172059,0.010278796357212,17.7704728645558,0.323329169998716,0.101384398983333,4.21550386840717,1.08566585467934,0.792993212339063,-0.747076260467522,2.02184994180523,10.052231487914,1.21169107275853,4.19869281196538,1.083718305948,0.023418987899545,-0.379658688340952,1.38677822943167,0.153032636713691,3.82179717239251,23.4257635146448,3.65319196262832,4.04640348527105,-0.544340781819471,0.066206789409863,23.9765176232466,28.3158447456999,-0.632634742859347,0.456806678078169,49366,1.53356193411795,0.4377951776458,-2.4517301911366,0.108191863469266,1.85826006233575,-1.14884510007718,0.328925315944616,3.94008991233416,2.97951784887728,-2.36361326894527,5.42098514898196,1.72612799319091
11861,0.345443619791647,0.154512589062609,6.34434542102028,0.109766901181972,0.010058290514447,16.8483899679648,0.331310882981486,0.100291029082599,4.10467903348907,1.07578493377561,0.97085317261217,-0.898655123078909,2.00297979225567,9.89306666778063,1.07751635509043,4.18571662671202,0.901480991656414,0.009357248526849,0.578105287229264,1.26437027771738,0.096732872007655,3.84146863744484,23.2348196626263,3.68345736630057,4.2137792811188,0.56243197939775,0.080396482829559,23.784655319125,28.5151472106715,-0.265619475393353,0.525301319668508,44866,2.06004271710615,0.45662706297647,-2.48874641119804,0.054060143731393,2.07778332883905,-1.45743793092828,0.232508373465114,4.16716822007056,1.73054034442126,-2.45937586120003,5.37913742596686,1.31550003588797
