"patient_id","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"AF037691",-0.00718572,-0.000124006,-0.000247219,-0.000532905,-0.000147209,-0.000415733,-0.000280793,-0.000277774,-0.000130765,-0.000371874
"AF037689",-0.00689103,-0.000131746,-0.000271254,-0.000513337,1.99546e-05,-0.000199942,-0.000227202,-0.000560684,-0.000288012,-0.000339499
"AF037688",-0.00693368,-0.000120844,-0.000354605,-0.000442395,-0.000159701,-0.00041604,-0.000484303,-0.000121744,-0.000223668,-0.000202634
"AF037687",-0.00701524,-0.000273085,-0.000229583,-0.000462024,-3.77573e-05,-0.000374848,-0.000143112,-0.000261804,-0.000238646,-0.000275717
"AF037686",-0.00649201,6.89078e-05,-0.000306066,-0.000492819,-0.000433076,-0.000333387,-0.000162252,-0.000342132,-0.000177057,-0.000327959
"AF037683",-0.00673239,-0.000405246,-0.000157698,-0.000443703,-7.52631e-05,-0.000293968,-0.00023008,-0.000182329,-0.000265042,-0.000169608
"AF037681",-0.00630609,-0.000329121,-0.000247483,-0.000366504,-5.14918e-05,-0.000544162,-0.000155752,-0.000310175,-7.7098e-05,-0.000180532
"AF037679",-0.00658674,-0.000312931,-0.000171935,-0.000577512,0.000118551,-0.000318384,-0.000100085,-0.000510152,-0.000614554,-6.32654e-05
"AF037678",-0.00671888,-0.000203709,-0.000285323,-0.000430375,-0.000103543,-0.00047059,-0.00039062,-0.000114214,-0.000126932,-0.000296929
"AF037669",-0.00689803,-0.000130068,-0.000214287,-0.000546279,-9.86218e-05,-0.000452702,-0.000309391,-0.000165451,-0.000204671,-0.000341313
"AF037668",-0.0067948,-0.000228374,-0.000224116,-0.000392051,-0.000138434,-0.000319916,-0.000232934,-0.000189442,-0.000260243,-0.000344171
"AF037667",-0.0071143,-9.77622e-05,-0.000256756,-0.000488545,-0.000100403,-0.000245618,-0.000212384,-0.000223111,-0.000173676,-0.000358358
"AF037666",-0.00711183,-0.000156143,-0.000166104,-0.00042657,2.4668e-05,-0.000325994,-0.000284561,-0.000409249,-0.000240799,-0.000273866
"AF037665",-0.00695921,-3.91381e-05,-0.000318659,-0.000426528,-0.0001503,-0.000353853,-0.000262752,-7.14265e-05,-0.000164598,-0.000269645
"AF037664",-0.00681488,-0.000179385,-0.000221243,-0.000345316,-9.33749e-05,-0.000243052,-0.000158362,-0.000319542,-7.13078e-05,-0.000269158
"AF037661",-0.00649558,1.15942e-05,-0.000208722,-0.000275806,-0.000208134,-0.000303507,-8.70731e-05,-5.24758e-05,-0.000186469,-0.000214736
"AF037660",-0.00478316,0.000225891,-0.000226982,-0.000690242,-6.37431e-05,4.51207e-05,-4.07316e-05,-0.000133415,-0.000107587,-0.000215536
"AF037659",-0.00638769,6.366e-05,-0.000193378,-0.00035438,6.44658e-05,-0.000218101,0.000102745,0.000153627,-0.000251334,-0.000458771
"AF037658",-0.00703827,-0.000197222,-0.000332594,-0.000408794,-0.000176987,-0.000205295,-0.000252769,-0.00027995,-0.000248002,-0.00027997
"AF037657",-0.0067437,-8.30105e-05,-0.000156971,-0.000541637,-0.000119225,-0.000259135,-0.000199768,-0.000217903,-0.000302254,-0.00023011
"AF037656",-0.00608053,0.000149673,-0.000165314,-0.000540678,-0.00017726,0.000110638,-0.00111307,1.3419e-05,-0.000494954,-0.000227188
"AF037655",-0.0069954,-4.5284e-05,-0.000181757,-0.00057375,-0.000203884,-0.000185065,-0.000184705,-0.000108807,-0.000170778,-0.000253497
"AF037654",-0.00695533,-3.92659e-05,-0.000253105,-0.000475078,-0.000121312,-0.000289344,-0.000223002,-0.000331647,-0.00016375,-0.000297758
"AF037653",-0.00687936,-9.6954e-05,-0.000186152,-0.000487136,-7.06585e-05,-0.000284602,-0.000292476,-0.000199831,-0.000204233,-0.000321963
"AF037651",-0.00698215,-0.00017905,-0.000305214,-0.000421995,-8.8682e-05,-0.000349857,-0.000201617,-0.000358738,-0.000157336,-0.0002661
"AF037649",-0.000916404,-0.000122036,-0.000432391,3.61404e-05,-7.04671e-05,0.00026295,0.000341781,0.000729188,0.000514504,-0.000244289
"AF037647",-0.00684555,-0.000125615,-0.000212064,-0.000433045,-0.000154151,-0.00027617,-0.000356969,-0.000183021,-0.000160501,-0.000246643
"AF037646",-0.00699025,-7.78457e-05,-0.00027165,-0.000394452,-4.23749e-05,-0.000519277,-0.000348613,-0.000202795,-0.000183388,-0.000281422
"AF037645",-0.00701874,-0.000148962,-0.000186431,-0.000461882,-0.000130622,-0.00033196,-0.000236359,-0.000233042,-0.000117123,-0.000282258
"AF037644",-0.00695973,-0.000127498,-0.00029273,-0.000429917,-1.3614e-05,-0.000361888,-0.000287423,-0.000315147,-0.000180336,-0.000281663
"AF037643",-0.00702012,-0.000135318,-0.000363904,-0.000508056,-0.000157103,-0.000339705,-0.000346829,-0.000209455,-0.000286202,-0.000257253
"AF037642",-0.00693536,-0.000174397,-0.000242243,-0.000392455,1.90157e-05,-0.00027133,-0.000179557,-0.000248604,-0.000135293,-0.000279027
"AF037641",-0.00697017,-0.000110647,-0.000239479,-0.000568451,-0.000150753,-0.000396354,-0.00036775,-8.12896e-05,-0.00025515,-0.000376406
"AF037639",-0.00688118,-0.000119324,-0.000254332,-0.000382352,5.62097e-05,-0.000299741,-0.000434161,-8.45259e-05,-9.36778e-05,-0.000166999
"AF037638",-0.00712098,1.53379e-05,-0.000189187,-0.000578575,-0.000213357,-0.000329238,-0.000180143,-0.000198407,-0.000251867,-0.000273137
"AF037637",-0.00692821,-8.43352e-05,-0.000252646,-0.000506769,-0.000233176,-0.000252021,-0.0002089,-0.000271401,-2.99187e-05,-0.000270833
"AF037636",-0.00681744,2.46021e-05,-0.000243455,-0.000592956,-0.000114798,-0.000377168,-0.000216669,-0.000256473,-6.92331e-05,-0.000284742
"AF035830",-0.00628969,-2.32873e-05,-0.000126305,-0.000474278,-6.17683e-05,-0.00036913,-0.00033732,-0.000289544,-0.000313223,-0.000381474
"ABB291",-0.00679249,-0.000185413,-0.000305934,-0.000450287,-3.92666e-05,-0.000267876,-0.000245847,-0.00021065,-0.000248425,-0.000153329
"AF035828",-0.00648179,-1.40265e-05,-0.000254994,-0.000340643,-1.80985e-05,-0.000204725,-0.000255398,-0.000255399,-0.000305919,-0.000153939
"AF035827",-0.00666234,2.40142e-05,-0.000115111,-0.000373066,-0.000186046,-0.000274916,-0.000435297,-0.000237052,-0.000198907,-0.000243956
"AF035826",-0.00661529,-2.59119e-05,-0.000257304,-0.00049966,-0.000240715,-0.000239518,-4.63645e-05,-0.000127652,-0.000342445,-0.000325158
"AF035825",-0.00701619,-0.000185068,-0.000236665,-0.000434702,-8.95858e-05,-0.00028486,-0.000320716,-0.000264284,-0.000251696,-0.00040263
"AF035824",-0.0053336,-0.000144873,-0.000337134,-0.000309073,-0.000305533,-0.000336525,-2.29418e-05,-2.93131e-05,-5.98155e-06,-0.000300242
"AF035822",-0.00689924,-2.50158e-05,-0.000163472,-0.000386314,-0.000294932,-0.000216599,-0.000330825,-0.000175085,-0.000216151,-0.0002957
"AF035821",-0.00699089,-9.36374e-06,-0.000214218,-0.000482072,-7.9637e-05,-0.000207865,-0.000176233,-0.000175533,-0.000346985,-0.000340428
"AF035820",-0.00689209,-0.000114343,-0.000455899,-0.000399636,4.82938e-06,-0.000262143,-0.000133601,-0.000410781,-0.000262869,-0.00022183
"AF035819",-0.00519107,-0.00024233,-0.0001196,-0.000133231,1.46456e-05,-0.000416253,8.60476e-05,-0.000391324,-0.000231901,-8.05325e-05
"AF035817",-0.00616849,0.000147742,-0.000295638,-0.00054454,-9.99632e-05,-0.000259947,-0.000373019,-0.000253169,-0.00050204,-0.000453937
"AF035815",-0.00430011,-9.4118e-05,-0.000250873,-0.000401314,-8.28051e-05,-7.89155e-05,-0.000194954,3.81146e-05,-0.000227397,-0.000123703
"AF035814",-0.00566123,-0.000103243,-0.000290995,-0.000246914,0.000205562,-0.000181859,-1.80689e-05,-2.90251e-05,-5.47615e-05,-0.000139616
"AF035813",-0.00678535,-0.000205791,-0.000218698,-0.000641734,-1.63944e-05,-0.000259788,-0.000167153,-0.000243681,-0.000225763,-0.000236404
"AF035811",-0.00711537,-8.88913e-05,-0.000330371,-0.000460047,-0.000197429,-0.000249233,-0.000209018,-0.000242445,-0.00019436,-0.000455076
"AF035810",-0.00698453,-8.69995e-05,-0.000381728,-0.000390463,-0.000210196,-0.000344641,-0.000270487,-0.000235391,-0.000296856,-0.00015865
"AF035809",-0.00677927,-0.0002013,-0.000347571,-0.000547585,-8.29316e-05,-0.000343422,-0.000288142,-0.000285806,-0.000280536,-0.000238767
"AF035807",-0.00658771,-2.50714e-05,-0.000224555,-0.000387042,-0.000184496,-0.000258042,-0.000169559,-0.000130075,-0.000216665,-0.000320839
"AF035805",-0.00687541,-2.28356e-05,-0.000192321,-0.000470855,-9.16648e-06,-0.000446291,-0.00042296,-0.000220236,-0.000275366,-0.000181485
"AF035804",-0.00684036,1.6685e-05,-0.000234171,-0.000504802,-7.76182e-05,-0.000403673,-0.000237279,-0.000125023,-0.000313103,-0.000302316
"AF035803",-0.0069259,-0.000188582,-0.000316331,-0.000472908,-3.79459e-05,-0.000247417,-0.000312655,-0.000143036,-0.000237456,-0.000302943
"AF035802",-0.00691725,-0.000291054,-0.000282285,-0.000387517,-0.000220802,-0.000361519,-0.000245087,-0.000131301,-4.79663e-05,-0.000178316
"AF035801",-0.00686679,-1.97707e-05,-0.000198782,-0.000404104,-9.9586e-05,-0.000357068,-0.000235289,-0.000291595,-0.000191678,-0.000199284
"AF035800",-0.00690393,-0.000140761,-0.000230343,-0.000282796,-3.24206e-07,-0.000283906,-0.000219951,-0.000391089,-0.000231795,-0.000165909
"AF035798",-0.00656784,-0.000237536,-0.000360274,-0.000399774,-0.00032311,-0.000237346,-0.000356064,-0.000222982,-0.000428375,3.60509e-05
"AF035797",-0.00708074,-6.80075e-05,-0.000224429,-0.000456928,-9.87857e-05,-0.000198922,-0.000177879,-0.000217147,-0.00013797,-0.00017534
"AF035794",-0.00711728,-8.79358e-05,-0.000209067,-0.000510678,-0.000140336,-0.000168505,-0.000327152,-0.000120253,-0.000226251,-0.000246017
"AF035793",-0.00656632,-0.000134342,-0.000204392,-0.000375597,-7.50221e-05,-0.000331738,-0.000141196,-0.000295942,-0.000346987,-0.000376925
"AF035791",-0.0055473,-0.00032952,-0.00033027,-0.000368457,1.43258e-05,-0.000286713,-0.000234376,-0.000233174,-0.000238915,-0.000139425
"AF035787",-0.00694941,-0.000152425,-8.67856e-05,-0.000515731,-0.000191901,-0.0001692,-0.000190056,-0.000167707,-0.000229865,-0.000503744
"AF035786",-0.00689209,-3.92776e-05,-0.000181413,-0.000448938,-0.00020701,-0.000194643,-0.000258792,-0.000186235,-0.000159103,-0.000288314
"AF035785",-0.00701704,3.02498e-05,-0.000329756,-0.000400902,-4.29747e-05,-0.000319207,-0.000306543,-0.000444851,-0.000262315,-0.000347811
"AF035781",-0.00682044,-0.000106414,-0.000458199,-0.000414655,-7.65029e-05,-0.000270487,-0.00026034,-0.000220707,-0.000146469,-0.000363991
"AF035778",-0.00665987,-8.43062e-05,-0.000212617,-0.000330766,-0.000276611,-0.000455698,-0.000257401,-0.000128239,-0.000240296,-0.000357244
